
Main Topic	Subtopic
Regularization	L1 (Lasso) & L2 (Ridge)
Regularization	Dropout
Regularization	Batch Normalization
Regularization	Layer Normalization
Regularization	Early Stopping
Regularization	Data Augmentation
Regularization	Weight Decay
Probabilistic Graphical Models	Bayesian Networks
Probabilistic Graphical Models	Markov Random Fields
Probabilistic Graphical Models	Hidden Markov Models (HMM)
Probabilistic Graphical Models	Conditional Random Fields (CRF)
Bayesian Methods	Bayesian Inference (MCMC, Variational Inference)
Bayesian Methods	Gaussian Processes
Bayesian Methods	Bayesian Linear Regression
Bayesian Methods	Bayesian Optimization
Data Preprocessing	Data Cleaning (outliers, duplicates)
Data Preprocessing	Sampling (random, stratified, cluster)
Data Preprocessing	Data Splitting (temporal, stratified)
Data Preprocessing	Handling Imbalanced Data (SMOTE, ADASYN, class weighting)
Imbalanced Learning	Resampling (oversampling, undersampling)
Imbalanced Learning	Cost‑sensitive Learning
Imbalanced Learning	Ensemble for Imbalance (RUSBoost, EasyEnsemble)
Multi‑task Learning	Hard / Soft Parameter Sharing
Multi‑task Learning	Task‑specific / Shared Layers
Continual Learning	Catastrophic Forgetting
Continual Learning	Elastic Weight Consolidation (EWC)
Continual Learning	Progressive Neural Networks
Continual Learning	Memory Replay
Explainable AI (XAI)	SHAP
Explainable AI (XAI)	LIME
Explainable AI (XAI)	Saliency Maps / Grad‑CAM
Explainable AI (XAI)	Feature Importance (permutation, tree‑based)
Explainable AI (XAI)	Counterfactual Explanations
MLOps & Deployment	Model Versioning (DVC, MLflow)
MLOps & Deployment	Model Serving (REST API, TensorFlow Serving, TorchServe)
MLOps & Deployment	Monitoring & Drift Detection (data drift, concept drift)
MLOps & Deployment	CI/CD for ML (GitHub Actions, Kubeflow)
Ethical ML	Fairness Metrics (demographic parity, equalized odds)
Ethical ML	Bias Mitigation (pre‑processing, in‑processing, post‑processing)
Ethical ML	Privacy (differential privacy, federated learning)
Ethical ML	Model Interpretability Requirements
Automated ML (AutoML)	Hyperparameter Optimization (grid search, random search, Bayesian optimization)
Automated ML (AutoML)	Neural Architecture Search (NAS)
Automated ML (AutoML)	Automated Feature Engineering (AutoFeat, Featuretools)
Specialized Domains	Natural Language Processing (tokenization, embeddings, seq2seq, attention, LLMs)
Specialized Domains	Computer Vision (object detection, segmentation, image generation, video analysis)
Specialized Domains	Speech Processing (ASR, TTS, speaker identification)
Specialized Domains	Recommender Systems (collaborative filtering, content‑based, hybrid)
Specialized Domains	Time Series Analysis (decomposition, forecasting, anomaly detection)
Specialized Domains	Graph Analytics (node classification, link prediction, graph generation)
